Material           Yield Strength(MPa)     Poisson's ratio     Young's modulus(GPa)     Density(kg/m3)    Hardness(MPa)    Ch_1     Ch_2
SiC                     21.1e3                  0.185                  410.                3210.              30.0e3        1.        1.   
Flint(SiO2)             1.1e3                   0.17                   80.                 2300.              11e3       1.        1.
Potash                  59.7                    0.27                   0.7                 1750.               100.          1.        1.
Nacl                    128.3                   0.3                    1.6                 2150.               200.          1.         1.     
Sand                    6.1e3                   0.17                   90.1                2660.               10.7e3       1.         1.
Alumina                 15.4e3                  0.22                   360.                 3890.               25.5e3       1.         1.
gamma-Al2O3             8.5                     0.25                   14.5                1040.               1.            1.         1.
Zeolite_4A              16.4                    0.25                   2.7                 1140.               1.            1.         1.
Sodium_benzoate         0.112                   0.25                   1.                   1500.               1.            1.         1.
Soda-lime_glass         1.                       0.22                   71.                  2500.               1.            1.         1.
Cellulose_acetate       1.                       0.28                   3.2                 1319.               1.            1.         1.
Compacted_copper_powder   70.                    0.35                   100.                 8900.               784.          1.        1.
Fluorite(CaF2)            34.                    0.26                   75.8                4700.               1177.         1.        1.
301_SS                  205.                     0.3                    200.                 8030.               2.4e3        1.        66.
Brass                   135.                     0.346                  105.                 8470.               1.0e3          1.        35.
Copper                  69.                      0.33                   117.                 8890.               370.          1.        200.
Mild_Steel              370.                     0.29                   205.                 7870.              1520.         1.        10.
Aluminium               310.                     0.35                   70.                  2700.               400.          1.        1.
Plexiglass              10.4                     0.38                   3.1                  1190                114           1.        1.        
Glass                   70                       0.22                   70                   2700                5776          1.        1.
H11                     1.2e3                    0.3                    207                  7810                3550          1.        1.
Al2O3                   54                       0.22                   14.5                 1040                4000          1.        1.
18_Ni_Carbon_Steel      16.5e3                   0.3                    185                  8000                4900          1.        1.
Iron                    50                       0.291                  200                  7870                1200          1.        1.
Magnesium               130                      0.35                   43                   1800                370           1.        1.
Limestone               20                       0.26                   18                   2500                2040          1.        1.
gamma-Al2O3_II          54                       0.22                   14.5                 1040.               990            1.         1.
Iron_ore                5                        0.29                   50                   3800                7300          1.        1.
Al_6061_T6              276.                     0.33                   68.9                 2700                107            1.        1.








































